University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
Drexel University (DU),Electrical Engineering,17820.0,0.74,2020-2021,STEM,
University of California - Berkeley,sociology,28000.0,1.01,2020-2021,Social Science,
University of Texas - Dallas (UTD),Mechanical Engineering,22400.0,1.04,2020-2021,STEM,
University of Florida (UF),Civil and Coastal engineering,25800.0,1.14,2020-2021,STEM,
Vanderbilt University,Earth and Environmental Science,29500.0,1.28,2020-2021,STEM,
University of Virginia (UVA),BIOMEDICAL ENGINEERING ,30500.0,1.34,2020-2021,STEM,
University of Arkansas - Fayetteville,Geosciences,25100.0,1.26,2020-2021,STEM,
Wake Forest University,Chemistry,25225.0,,2020-2021,STEM,
University of Minnesota - Twin Cities (UM),Developmental Psychology,23000.0,1.0,2020-2021,Social Science,
University of Pennsylvania,Chemical and Biomolecular Engineering,34000.0,1.41,2019-2020,STEM,Ivy
Brigham Young University (BYU),Chemistry and Biochemistry,25000.0,1.21,2019-2020,STEM,
cu ansutlz,biomedical,32000.0,,2020-2021,STEM,
University of California - Davis (UCD),Communication,21311.0,0.89,2020-2021,Social Science,
Cornell University (CU),Chemistry,36360.0,1.5,2020-2021,STEM,Ivy
University of Minnesota - Twin Cities (UM),pharmaceutics,22500.0,0.98,2020-2021,STEM,
Ohio State University (OSU),educational studies,26312.0,1.31,2020-2021,Humanities,
University of Missouri (MU),Biochemistry,30000.0,1.46,2020-2021,STEM,
University of Hawaii - Manoa (UH),American Studies,18990.0,0.62,2020-2021,Humanities,
New York University (NYU),Tandon Computer Science,36000.0,1.21,2020-2021,STEM,
Duke University (DU),Music Composition,34000.0,1.53,2019-2020,Humanities,
Florida International University (FIU),Politics and International Relations ,18200.0,0.76,2019-2020,Social Science,
Oregon State University (OSU),Computer Science,24600.0,1.18,2020-2021,STEM,
Johns Hopkins University (JHU),Materials Science and Engineering,31500.0,1.22,2020-2021,STEM,
University of Florida (UF),School of Natural Resources and the Environment,23639.0,1.04,2020-2021,STEM,
Wayne State University,immunotherapy,35000.0,1.68,2020-2021,STEM,
Rensselaer Polytechnic Institute (RPI),Chemistry & Chemical Biology,30106.0,1.32,2020-2021,STEM,
University of California - Berkeley,Ethnic Studies,31200.0,1.12,2020-2021,Humanities,
Ohio State University (OSU),Biomedical Sciences Graduate Program,31000.0,1.55,2020-2021,STEM,
Ohio State University (OSU),Biomedical Sciences Graduate Program,31000.0,1.55,2020-2021,STEM,
University of Colorado - Denver (UCD),Micro,31000.0,1.38,2020-2021,STEM,
University of Colorado - Anschutz meedical campus,Microbiology,31000.0,,2020-2021,STEM,
University of Alabama (UA),Metallurgical and materials engineering,23000.0,1.09,2020-2021,STEM,
Virginia Tech,Civil and Environmental Engineering,26000.0,1.23,2020-2021,STEM,
Kent State University (KSU),Biological Sciences,23000.0,1.16,2020-2021,STEM,
Northwestern University (NU),Bioengineering,33500.0,1.38,2020-2021,STEM,
Virginia Tech,Engineering Education,15669.0,0.74,2020-2021,Social Science,
Iowa State University (ISU),Electrical and Computer Engineering,24468.0,1.15,2020-2021,STEM,
University of California - Santa Barbara (UCSB),History,22000.0,0.84,2020-2021,Humanities,
Purdue University - West Lafayette,Engineering Education,21870.0,1.03,2020-2021,Social Science,
University of Arkansas - Fayetteville,english,34000.0,1.7,2020-2021,Humanities,
Pennsylvania State University (Penn State),Human Development and Family Studies,22800.0,1.02,2020-2021,Humanities,
North Carolina State University (NCSU),Chemical Engineering,29000.0,1.27,2019-2020,STEM,
Colorado State University (CSU),Chemistry,23150.0,1.03,2020-2021,STEM,
Cornell University (CU),Policy Analysis and Management,28700.0,1.18,2020-2021,Social Science,Ivy
University of Michigan - Ann Arbor (UM),nursing,25320.0,1.1,2020-2021,STEM,
Rutgers the State University of New Jersey - Newark,Global urban studies,29000.0,1.07,2020-2021,Humanities,
University of Delaware (UD),Mechanical Engineer,29400.0,1.16,2020-2021,STEM,
Duke University (DU),Mechanical Engineering and Materials Science,31500.0,1.42,2020-2021,STEM,
Pennsylvania State University (Penn State),College of Communication,26010.0,1.16,2020-2021,Social Science,
University of Texas - Dallas (UTD),Public Affairs,18000.0,0.83,2019-2020,Social Science,
University of South Carolina (USC),Linguistics,20000.0,0.89,2020-2021,Social Science,
University of Southern California (USC),Computer Science,34000.0,1.31,2019-2020,STEM,
Princeton University,Sociology,35500.0,1.4,2020-2021,Social Science,Ivy
University of Texas - Austin (UT),Biomedical Engineering,23000.0,1.01,2020-2021,STEM,
University of Utah,Electrical and Computer Engineering,23820.0,1.07,2020-2021,STEM,
Michigan State University (MSU),Electrical Engineering,29000.0,1.41,2020-2021,STEM,
University of Michigan - Ann Arbor (UM),Biostatistics,24498.0,1.06,2020-2021,STEM,
Ohio State University (OSU),Statistics,20623.0,1.03,2020-2021,STEM,
University of Michigan - Ann Arbor (UM),Philosophy,28780.0,1.25,2020-2021,Humanities,
Ohio State University (OSU),Statistics,20623.0,1.03,2020-2021,STEM,
Norwegian University of Science and Technology,Computer Science,51142.0,,2020-2021,STEM,
King's College London,Wellcome Trust PhD  Regenerative Medicine,32000.0,,2020-2021,STEM,
Purdue University - West Lafayette,Physics,19000.0,0.9,2020-2021,STEM,
University of Texas - Austin (UT),Mathematics,28654.0,1.26,2020-2021,STEM,
University of Notre Dame (ND),Mathematics,25539.0,1.25,2020-2021,STEM,
University of Colorado - Boulder (UCB),Chemistry,27868.0,1.09,2020-2021,STEM,
Stanford University (SU),Chemistry,44000.0,1.53,2020-2021,STEM,
University of Louisville (U of L),Social Work,21000.0,1.02,2020-2021,Social Science,
Indiana University,Business,20500.0,0.95,2020-2021,Business,
Auburn University (AU),Management,28000.0,1.29,2020-2021,Business,
Texas A&amp;M; University - College Station,Statistics,22000.0,,2020-2021,STEM,
Georgetown University,Physics,34500.0,1.12,2020-2021,STEM,
Northwestern University (NU),Pharmacology,31500.0,1.3,2020-2021,STEM,
University of Michigan - Ann Arbor (UM),electrical and computer engineering,31629.0,1.37,2020-2021,STEM,
Weill Cornell Medicine,Neuroscience,42000.0,,2019-2020,STEM,
Washington University in St. Louis (Wash U),Social Work,35000.0,1.69,2020-2021,Social Science,
Johns Hopkins University (JHU),Education,28000.0,1.09,2020-2021,Social Science,
University of Vermont (UVM),Experimental Psychology,28000.0,1.08,2019-2020,Social Science,
University of Pittsburgh,chemistry,31000.0,1.5,2020-2021,STEM,
Purdue University - West Lafayette,Electrical & Computing Engineering,25200.0,1.19,2020-2021,STEM,
University of Texas - San Antonio (UTSA),Cell and Molecular biology,28000.0,1.35,2020-2021,STEM,
Indiana University,Medical genetics,24000.0,1.11,2020-2021,STEM,
University of Wyoming (UW),Psychology,17000.0,0.82,2020-2021,Social Science,
Cornell University (CU),Food Science,37335.0,1.54,2020-2021,Social Science,Ivy
George Mason University (GMU),Computer Science,22500.0,0.75,2020-2021,STEM,
University of Delaware (UD),Computer Science,23000.0,0.91,2020-2021,STEM,
North Carolina State University (NCSU),Biomedical engineering ,33500.0,1.47,2020-2021,STEM,
University of Cincinnati (UC),Psychology ,17000.0,0.88,2020-2021,Social Science,
University of California - San Francisco (UCSF),Epidemiology,41200.0,1.38,2020-2021,STEM,
Harvard University (HU),Epidemiology,30500.0,1.06,2020-2021,STEM,
University of Texas - Austin (UT),Mechanical Engineering,24500.0,1.07,2020-2021,STEM,
University of Texas - Austin (UT),Psychology,30000.0,1.31,2020-2021,Social Science,
University of Texas - Austin (UT),Neuroscience,32500.0,1.42,2020-2021,STEM,
University of Pittsburgh,Biomedical Informatics,30855.0,1.49,2020-2021,STEM,
Clemson University (CU),Physics and Astronomy,20000.0,0.96,2019-2020,STEM,
University of Southern California (USC),Sociology,30500.0,1.18,2020-2021,Social Science,
Vanderbilt University,Sociology,26000.0,1.13,2020-2021,Social Science,
Pennsylvania State University (Penn State),Sociology,32500.0,1.45,2020-2021,Social Science,
CUNY Graduate School and University Center,Sociology,26612.0,0.89,2020-2021,Social Science,
University of Minnesota - Twin Cities (UM),Clinical Psychology,22000.0,0.96,2020-2021,Social Science,
Johns Hopkins University (JHU),Physics And Astronomy,33000.0,1.28,2020-2021,STEM,
University of Oklahoma (OU),Journalism and Mass Communication,20000.0,0.99,2020-2021,Social Science,
University of Kentucky (UK),statistics,23200.0,1.14,2018-2019,STEM,
University of Connecticut (UConn),political science ,18230.0,0.75,2020-2021,Social Science,
University of California - San Francisco (UCSF),Biomedical Sciences,40000.0,1.34,2020-2021,STEM,
University of North Carolina - Chapel Hill (UNC),History,15700.0,0.71,2020-2021,Humanities,
Vanderbilt University,History PhD,25500.0,1.11,2020-2021,Humanities,
Vanderbilt University,History PhD,25500.0,1.11,2020-2021,Humanities,
University of Washington (UW),Political Science,20184.0,0.87,2020-2021,Social Science,
University of Virginia (UVA),system engineering,30000.0,1.31,2020-2021,STEM,
University of Maryland - Baltimore (UMB),Epidemiology and Human Genetics,27000.0,1.05,2020-2021,STEM,
University of California - Berkeley,Earth and Planetary Science,40196.0,1.45,2019-2020,STEM,
University of Chicago (UC),Harris Public Policy,33000.0,1.36,2020-2021,Social Science,
California Institute of Technology (Caltech),Electrical Engineering,37500.0,1.45,2020-2021,STEM,
Harvard University (HU),biology,25000.0,0.87,2020-2021,STEM,
University of Kentucky (UK),Economics,19500.0,0.96,2020-2021,Social Science,
University of Kentucky (UK),Economics,19500.0,0.96,2020-2021,Social Science,
Yale University (YU),Economics,41000.0,1.66,2020-2021,Social Science,Ivy
Princeton University,Economics,40500.0,1.59,2020-2021,Social Science,Ivy
Texas A&amp;M; University - College Station,CSE,24000.0,,2020-2021,STEM,
New Jersey Institute of Technology,biomedical engineering,26000.0,0.96,2020-2021,STEM,
Tufts University (TU),Biomedical Engineering,35175.0,1.26,2020-2021,STEM,
Rice University,Chemical and Biomolecular Engineering,30200.0,1.38,2020-2021,STEM,
Texas Christian University (TCU),Chemistry & Biochemistry,21000.0,0.96,2020-2021,STEM,
West Virginia University (WVU),economics,35343.0,1.58,2020-2021,Social Science,
Harvard University (HU),Comparative Literature,36600.0,1.28,2020-2021,Humanities,
Purdue University - West Lafayette,Pharmacy Practice,21500.0,1.02,2020-2021,STEM,
university of Massachusetts Amherst,mechanical engineering,31000.0,,2019-2020,STEM,
Texas Tech University (TTU),English ,15250.0,0.75,2019-2020,Humanities,
Michigan State University (MSU),Clinical Psychology,21000.0,1.02,2020-2021,Social Science,
Northwestern University (NU),Clinical Psychology,33000.0,1.36,2020-2021,Social Science,
Vanderbilt University,Clinical Psychology,31000.0,1.35,2020-2021,Social Science,
Florida State University (FSU),Clinical Psychology,27000.0,1.16,2020-2021,Social Science,
Temple University (TU),Clinical Psychology,25000.0,1.04,2020-2021,Social Science,
Stony Brook University - SUNY,Clinical Psychology,23000.0,0.82,2020-2021,Social Science,
University of California - Los Angeles (UCLA),Clinical Psychology,27000.0,1.04,2020-2021,Social Science,
Emory University,Clinical Psychology,31000.0,1.33,2020-2021,Social Science,
University of California - Irvine (UCI),Computer Science,22000.0,0.75,2020-2021,STEM,
Stony Brook University - SUNY,Computer Science,30000.0,1.07,2020-2021,STEM,
Rice University,Physics,31600.0,1.45,2019-2020,STEM,
Rice University,Physics,31600.0,1.45,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Biological Engineering,51000.0,2.21,2021-2022,STEM,
University of Michigan - Ann Arbor (UM),biological enginering,51000.0,2.21,2021-2022,STEM,
University of Central Florida (UCF),Integrative and Conservation Biology,19000.0,0.82,2020-2021,STEM,
Arizona State University (ASU),Electrical engineering,21400.0,0.96,2020-2021,STEM,
Emory University,Epidemiology,31087.0,1.33,2020-2021,STEM,
Brown University,Epidemiology,35900.0,1.58,2020-2021,STEM,Ivy
Michigan State University (MSU),Microbiology,29336.0,1.43,2018-2019,STEM,
University of California - Davis (UCD),Microbiology Graduate Group,33533.0,1.4,2020-2021,STEM,
Princeton University,Geosciences,37500.0,1.48,2019-2020,STEM,Ivy
University of Utah,Computer Science,18000.0,0.81,2020-2021,STEM,
Clemson University (CU),Electrical and Computer Engineering,20000.0,0.96,2020-2021,STEM,
Stony Brook University - SUNY,Electrical engineering ,18100.0,0.65,2020-2021,STEM,
Georgia State University (GSU),Economics,24000.0,1.03,2020-2021,Social Science,
Texas A&amp;M; University - College Station,History,17500.0,,2020-2021,Humanities,
University of Texas - Austin (UT),Microbiology,31000.0,1.36,2019-2020,STEM,
University of Colorado - Boulder (UCB),political science ,22750.0,0.89,2020-2021,Social Science,
Syracuse University,political science ,21000.0,0.98,2020-2021,Social Science,
University of Chicago (UC),economics,42000.0,1.73,2020-2021,Social Science,
Yale University (YU),economics,42000.0,1.7,2020-2021,Social Science,Ivy
Wayne State University,English,20000.0,0.96,2020-2021,Humanities,
Montana State University (MSU),Statistics,17800.0,0.85,2020-2021,STEM,
University of Illinois - Urbana- Champaign (UIUC),Statistics,20589.0,0.94,2020-2021,STEM,
North Carolina State University (NCSU),Statistics,18750.0,0.82,2020-2021,STEM,
Northwestern University (NU),Operation Management,40500.0,1.67,2020-2021,Business,
Northwestern University (NU),Operation Management,40500.0,1.67,2020-2021,Business,
University of Texas - Austin (UT),Chemical Engineering,29000.0,1.27,2020-2021,STEM,
University of Texas - Dallas (UTD),Computer Science,20400.0,0.95,2020-2021,STEM,
University of Texas - Austin (UT),Integrative Biology ,28092.0,1.23,2020-2021,STEM,
Purdue University - West Lafayette,civil Engineering,22400.0,1.06,2020-2021,STEM,
Harvard University (HU),math,26000.0,0.91,2020-2021,STEM,
University of Oklahoma (OU),business,30000.0,1.49,2020-2021,Business,
University of California - San Francisco (UCSF),Bioengineering,38000.0,1.27,2018-2019,STEM,
University of California - San Francisco (UCSF),Bioengineering,40000.0,1.34,2020-2021,STEM,
Florida State University (FSU),Political Science,21325.0,0.91,2020-2021,Social Science,
Emory University,History,31775.0,1.36,2020-2021,Humanities,
Columbia University (CU),History,35100.0,1.18,2020-2021,Humanities,Ivy
Stanford University (SU),History,40800.0,1.42,2020-2021,Humanities,
University of Chicago (UC),History,34800.0,1.43,2020-2021,Humanities,
University of Southern California (USC),Philosophy,30400.0,1.17,2020-2021,Humanities,
North Carolina State University (NCSU),Comparative Biomedical Sciences,27000.0,1.18,2020-2021,STEM,
University of Delaware (UD),Biological sciences ,26666.0,1.05,2020-2021,STEM,
University of Miami (UM),sociology,22950.0,0.96,2020-2021,Social Science,
University of Minnesota - Twin Cities (UM),economics,24000.0,1.05,2020-2021,Social Science,
University of Chicago (UC),Anthropology,29590.0,1.22,2019-2020,Humanities,
Boston University (BU),chemistry,36000.0,1.26,2020-2021,STEM,
University of Minnesota - Twin Cities (UM),Philosophy ,20000.0,0.87,2020-2021,Humanities,
Duke University (DU),nursing,30800.0,1.39,2020-2021,STEM,
University of Rochester (UR),Genetics,29567.0,1.38,2019-2020,STEM,
University of Chicago (UC),Philosophy PhD,29635.0,1.22,2020-2021,Humanities,
University of Chicago (UC),Linguistics ,31000.0,1.28,2020-2021,Social Science,
University of Illinois - Urbana- Champaign (UIUC),Materials Science and Engineering,30360.0,1.38,2020-2021,STEM,
Miami University (MU),Biology,19668.0,1.02,2020-2021,STEM,
University of Southern California (USC),Annenberg Communication,26000.0,1.0,2020-2021,Social Science,
Miami University (MU),Biology,20754.0,1.08,2020-2021,STEM,
Columbia University (CU),East Asian Studies,35140.0,1.18,2020-2021,Humanities,Ivy
Princeton University,East Asian Studies,35500.0,1.4,2020-2021,Humanities,Ivy
Harvard University (HU),population health sciences Epidemiology ,30500.0,1.06,2020-2021,STEM,
Temple University (TU),Mathematics,30000.0,1.24,2020-2021,STEM,
University of Southern California (USC),Communication,34000.0,1.31,2020-2021,Social Science,
Tufts University (TU),Computer Science,30000.0,1.07,2020-2021,STEM,
University of California - Berkeley,plant and microbial biology,38000.0,1.37,2020-2021,STEM,
University of North Carolina - Chapel Hill (UNC),Sociology,20000.0,0.9,2019-2020,Social Science,
Arizona State University (ASU),Geoscience,23484.0,1.06,2020-2021,STEM,
University at Albany - SUNY,Biology,22500.0,0.99,2020-2021,STEM,
University of Rochester (UR),Earth,29137.0,1.36,2020-2021,STEM,
New York University (NYU),History,32500.0,1.09,2020-2021,Humanities,
Florida State University (FSU),Political Science,26000.0,1.12,2020-2021,Social Science,
Emory University,Spanish,31000.0,1.33,2020-2021,Humanities,
University of Virginia (UVA),Mathematics,24000.0,1.05,2020-2021,STEM,
University of Kentucky (UK),political Science ,16000.0,0.78,2020-2021,Social Science,
University of Colorado - Boulder (UCB),Political Science ,20500.0,0.8,2020-2021,Social Science,
University of California - San Diego (UCSD),Math,26157.0,0.99,2019-2020,STEM,
Yale University (YU),Genetics,41125.0,1.66,2020-2021,STEM,Ivy
Ohio State University (OSU),Microbiology,29856.0,1.49,2020-2021,STEM,
University of Maryland - College Park (UMD),Business,32500.0,1.07,2020-2021,Business,
University of Maryland - College Park (UMD),Finance,31348.0,1.04,2020-2021,Business,
University of California - Los Angeles (UCLA),Political Science,25000.0,0.97,2019-2020,Social Science,
University of California - Berkeley,History,30000.0,1.08,2020-2021,Humanities,
University of Southern California (USC),Math,30500.0,1.18,2020-2021,STEM,
Stanford University (SU),Bioengineering,43404.0,1.51,2020-2021,STEM,
Louisiana State University - Baton Rouge,Agricultural Economics,17350.0,0.8,2020-2021,Social Science,
Purdue University - West Lafayette,English,17400.0,0.82,2020-2021,Humanities,
Washington University in St. Louis (Wash U),Neuroscience,30500.0,1.48,2020-2021,STEM,
University of Mississippi Medical Center,Cell biology,26000.0,1.28,2020-2021,STEM,
University of Maryland - College Park (UMD),Sociology,33147.0,1.1,2020-2021,Social Science,
Yale University (YU),Economics,37000.0,1.5,2016-2017,Social Science,Ivy
Cold Spring Harbor Laboratory ,Watson school of biological sciences,36450.0,,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Aerospace Engineering,32000.0,1.39,2019-2020,STEM,
Mississippi State University (MSU),Chemistry ,19400.0,0.89,2020-2021,STEM,
Portland State University (PSU),Chemistry,24000.0,1.03,2020-2021,STEM,
Iowa State University (ISU),Electrical Engineering,24450.0,1.15,2019-2020,STEM,
University of Chicago (UC),English,34000.0,1.4,2019-2020,Humanities,
University of North Carolina - Chapel Hill (UNC),English,15000.0,0.67,2020-2021,Humanities,
University of Southern California (USC),Cinema & Media Studies,34000.0,1.31,2020-2021,Humanities,
Rice University,Bioengineering,31500.0,1.44,2019-2020,STEM,
University of Illinois - Urbana- Champaign (UIUC),School of Information Science,23100.0,1.05,2020-2021,STEM,
University of Michigan - Ann Arbor (UM),Neuroscience,32739.0,1.42,2020-2021,STEM,
Florida Atlantic University (FAU),Business,19000.0,0.8,2020-2021,Business,
Rice University,Business,40000.0,1.83,2020-2021,Business,
Case Western Reserve University,Materials Science and Engineering,27600.0,1.38,2020-2021,STEM,
Yale University (YU),Mechanical Engineering and Materials Science,36000.0,1.46,2020-2021,STEM,Ivy
Virginia Tech,Sociology ,20682.0,0.98,2020-2021,Social Science,
Carnegie Mellon University (CMU),Biomedical Engineering,31000.0,1.5,2020-2021,STEM,
University of Maryland - College Park (UMD),Applied Mathematics & Statistics and Scientific Computation,24064.0,0.8,2020-2021,STEM,
University of California - Irvine (UCI),Department of Informatics,21273.0,0.73,2019-2020,STEM,
Cornell University (CU),Communications ,31000.0,1.28,2020-2021,Social Science,Ivy
Cornell University (CU),Communications ,31000.0,1.28,2020-2021,Social Science,Ivy
Purdue University - West Lafayette,Nuclear Engineering,22800.0,1.08,2019-2020,STEM,
Iowa State University (ISU),Chemical and Biological Engineering,28759.0,1.35,2019-2020,STEM,
University of Minnesota - Twin Cities (UM),Earth and Environmental Sciences,23035.0,1.01,2020-2021,STEM,
Rutgers the State University of New Jersey - New Brunswick,Journalism and media studies,20000.0,0.78,2020-2021,Humanities,
Rutgers the State University of New Jersey - New Brunswick,Journalism and media studies,20000.0,0.78,2020-2021,Humanities,
University of Texas - Dallas (UTD),International Political Economy,19900.0,0.92,2020-2021,Social Science,
University of Utah,Music,15000.0,0.67,2019-2020,Humanities,
Cambridge University,Physics,19000.0,,2019-2020,STEM,
Washington State University (WSU),Sociology,16665.0,0.88,2020-2021,Social Science,
University of Southern California (USC),American Studies ,30500.0,1.18,2020-2021,Humanities,
Texas Christian University (TCU),Education ,20710.0,0.95,2020-2021,Social Science,
University of Illinois - Urbana- Champaign (UIUC),history,20000.0,0.91,2020-2021,Humanities,
University of Texas - Dallas (UTD),Bioengineering,25000.0,1.16,2020-2021,STEM,
University of Texas - Dallas (UTD),Biomedical engineering,20500.0,0.95,2020-2021,STEM,
Emory University,political science,30623.0,1.31,2020-2021,Social Science,
University of Rochester (UR),Pharmacology and Physiology,29000.0,1.36,2019-2020,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemistry,25000.0,1.14,2016-2017,STEM,
University of Colorado - Boulder (UCB),Aerospace Engineering,38200.0,1.5,2019-2020,STEM,
University of Missouri (MU),Philosophy,17700.0,0.86,2019-2020,Humanities,
University at Albany - SUNY,Political Science,17100.0,0.75,2019-2020,Social Science,
Pennsylvania State University (Penn State),Sociology,32500.0,1.45,2020-2021,Social Science,
Vanderbilt University,Sociology,26000.0,1.13,2020-2021,Social Science,
Pennsylvania State University (Penn State),Communications,24000.0,1.07,2020-2021,Social Science,
University of South Carolina (USC),Chemistry and Biochemistry,22000.0,0.98,2020-2021,STEM,
Ohio University (OU),Environmental and Plant Biology ,18116.0,0.86,2020-2021,STEM,
University of Illinois - Urbana- Champaign (UIUC),Mechanical Engineering,26290.0,1.2,2020-2021,STEM,
University of Texas Medical Branch - Galveston,Human Pathophysiology and Translational Medicine,31000.0,1.42,2020-2021,STEM,
Duke University (DU),Environment,41800.0,1.88,2020-2021,STEM,
Cold Spring Harbor Laboratory,Watson School of Biological Sciences,34000.0,,2018-2019,STEM,
New York University (NYU),Computer Science,36000.0,1.21,2020-2021,STEM,
Columbia University (CU),Biological Sciences,39750.0,1.34,2019-2020,STEM,Ivy
University of Michigan - Ann Arbor (UM),School of Nursing,20820.0,0.9,2018-2019,STEM,
University of Michigan - Ann Arbor (UM),School of Nursing,20320.0,0.88,2017-2018,STEM,
University of Michigan - Ann Arbor (UM),School of Nursing,19840.0,0.86,2016-2017,STEM,
University of Washington (UW),Industrial Engineering,19500.0,0.84,2019-2020,STEM,
Purdue University - West Lafayette,Clinical Psychology,16211.0,0.77,2020-2021,Social Science,
Virginia Commonwealth University (VCU),School of Medicine,30000.0,1.21,2019-2020,STEM,
Pennsylvania State University (Penn State),Geography ,30000.0,1.34,2020-2021,STEM,
Boston University (BU),English,29500.0,1.03,2020-2021,Humanities,
University of Illinois - Urbana- Champaign (UIUC),Accounting,32500.0,1.48,2020-2021,Business,
University of British Columbia,Obstetrics and Gynaecology,16000.0,,2018-2019,STEM,
Rutgers the State University of New Jersey - New Brunswick,School of Communication and Information,25969.0,1.01,2019-2020,Social Science,
"University of Leeds, UK",Psychology,35000.0,,2020-2021,Social Science,
University of Washington (UW),Education ,30500.0,1.31,2019-2020,Social Science,
University of North Carolina - Chapel Hill (UNC),English and Comparative Literature,16000.0,0.72,2019-2020,Humanities,
Johns Hopkins University (JHU),English,31000.0,1.21,2018-2019,Humanities,
University of California - San Diego (UCSD),Political Science,23000.0,0.87,2018-2019,Social Science,
Drexel University (DU),Business Analytics ,23000.0,0.95,2019-2020,Business,
Rice University,Math,25300.0,1.16,2019-2020,STEM,
Pennsylvania State University (Penn State),Sociology,32500.0,1.45,2019-2020,Social Science,
University of Maryland - College Park (UMD),Spanish Literature,22400.0,0.74,2018-2019,Humanities,
Princeton University,Computer Science,28933.0,1.14,2019-2020,STEM,Ivy
University of California - Irvine (UCI),Informatics,21519.0,0.74,2019-2020,STEM,
University of Chicago (UC),Public health sciences,28000.0,1.15,2015-2016,Social Science,
Carnegie Mellon University (CMU),Statistics,28400.0,1.37,2018-2019,STEM,
University of Illinois - Urbana- Champaign (UIUC),Human Development and Family Studies,32000.0,1.45,2018-2019,Humanities,
University of Illinois - Urbana- Champaign (UIUC),Human Development and Family Studies,17449.0,0.79,2019-2020,Humanities,
University of California - Los Angeles (UCLA),Chemistry and Biochemistry,33000.0,1.28,2019-2020,STEM,
University of California - Irvine (UCI),Informatics ,21000.0,0.72,2018-2019,STEM,
University of Rochester (UR),Finance,33000.0,1.54,2019-2020,Business,
Cornell Tech,Computer Science,40000.0,,2019-2020,STEM,
Boston College (BC),Sociology,23000.0,0.82,2019-2020,Social Science,
American University (AU),Communication ,22000.0,0.71,2019-2020,Social Science,
American University (AU),Communication ,22000.0,0.71,2019-2020,Social Science,
University of California - Irvine (UCI),Informatics ,20700.0,0.71,2019-2020,STEM,
Duke University (DU),Music,23500.0,1.06,2019-2020,Humanities,
Sciences Po,Economics,21560.0,,2018-2019,Social Science,
Northwestern University (NU),Music Composition,33504.0,1.38,2019-2020,Humanities,
University of California - Berkeley,Neuroscience,38000.0,1.37,2019-2020,STEM,
University of California - San Diego (UCSD),Communication,42000.0,1.59,2019-2020,Social Science,
University of Texas - Austin (UT),Middle eastern studies,45000.0,1.97,2019-2020,Humanities,
University of Minnesota - Twin Cities (UM),Environmental Health Sciences ,23500.0,1.03,2018-2019,STEM,
University of North Carolina - Chapel Hill (UNC),Chemistry,28000.0,1.26,2019-2020,STEM,
St. John&#39;s University (SJU),Psychology,16000.0,,2019-2020,Social Science,
University of Washington (UW),Information School,24850.0,1.07,2018-2019,STEM,
Duke University (DU),Music,34000.0,1.53,2018-2019,Humanities,
University of North Carolina - Greensboro (UNCG),Human development and family studies,16500.0,0.77,2018-2019,Humanities,
Texas A&amp;M; University - College Station,Neuroscience and Experimental Therapeutics,30000.0,,2019-2020,STEM,
Tufts University (TU),Economics,26500.0,0.95,2019-2020,Social Science,
Boston University (BU),Psychology,33000.0,1.15,2018-2019,Social Science,
Yale University (YU),Ecology and evolutionary biology ,34000.0,1.38,2018-2019,STEM,Ivy
George Washington University (GW),Human Paleobiology,25550.0,0.83,2018-2019,STEM,
Washington State University (WSU),School of Biological Sciences,18713.0,0.99,2018-2019,STEM,
University of Maryland - College Park (UMD),Bioengineering,31121.0,1.03,2019-2020,STEM,
University of Central Florida (UCF),Accounting,25000.0,1.08,2019-2020,Business,
University of British Columbia,Neuroscience,16396.0,,2018-2019,STEM,
University of Colorado - Boulder (UCB),Mathematics,20781.0,0.81,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),School of Information,31800.0,1.38,2019-2020,STEM,
University of California - San Diego (UCSD),Bioinformatics,33000.0,1.25,2019-2020,STEM,
Brandeis University,Molecular & Cell Biology,34000.0,1.22,2019-2020,STEM,
University of Wisconsin - Madison (UW),Mass Communications,20500.0,0.9,2019-2020,Social Science,
University College Dublin,Physics,16620.0,,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Neuroscience Graduate Program,32739.0,1.42,2019-2020,STEM,
University of California - Santa Barbara (UCSB),Biomolecular Science and Engineering,28500.0,1.09,2017-2018,STEM,
University of Delaware (UD),Chemistry,25000.0,0.98,2017-2018,STEM,
Northwestern University (NU),Engineering Sciences And Applied Mathematics,28180.0,1.16,2019-2020,STEM,
Purdue University - West Lafayette,Psychological Sciences,17500.0,0.83,2019-2020,Social Science,
University of California - Santa Barbara (UCSB),Physics,34000.0,1.29,2018-2019,STEM,
University of Tennessee - Knoxville,Nuclear Engineering ,38000.0,1.79,2019-2020,STEM,
New York University (NYU),Sociology,63000.0,2.12,2018-2019,Social Science,
Rutgers the State University of New Jersey - New Brunswick,Higher Education PhD,19800.0,0.77,2018-2019,Social Science,
Ohio State University (OSU),Chemistry,18600.0,1.1,2002-2003,STEM,
Stony Brook University - SUNY,Music,20000.0,0.72,2018-2019,Humanities,
Stanford University (SU),Graduate School of Business,44000.0,1.53,2018-2019,Business,
Brown University,economics,31000.0,1.36,2018-2019,Social Science,Ivy
